(('Sitta', 'US-WI'), (557294, 0.012907710284125141))
(('Cyanocorax', 'MX-CAM'), (3003, 0.01288787078980247))
(('Glaucidium', 'MX-YUC'), (6744, 0.01286936306170957))
(('Pitangus', 'MX-COL'), (3274, 0.012841729434762746))
(('Crotophaga', 'MX-COL'), (1770, 0.012838023058416685))
(('Clangula', 'US-AK'), (37868, 0.012837758067602876))
(('Euphonia', 'MX-ROO'), (6064, 0.012776102673342404))
(('Xanthocephalus', 'US-ND'), (18180, 0.012749663113986433))
(('Cardinalis', 'US-MD'), (681139, 0.012721682265138057))
(('Pheugopedius', 'MX-COL'), (1428, 0.012701320188332973))
(('Cyclarhis', 'MX-ROO'), (5796, 0.012695372334128223))
(('Eupsittula', 'MX-COL'), (1419, 0.012688090236960135))
(('Crotophaga', 'MX-MIC'), (1790, 0.012685825738414327))
(('Melospiza', 'CA-QC'), (879161, 0.012682912827549447))
(('Calidris', 'US-DE'), (101395, 0.012677136246422254))
(('Fregata', 'MX-SIN'), (2929, 0.012672732468688896))
(('Aechmophorus', 'US-UT'), (46658, 0.012667932256032409))
(('Pipilo', 'US-TN'), (161294, 0.01266778812587063))
(('Buteo', 'US-CO'), (453174, 0.01266127792513984))
(('Dives', 'MX-TAM'), (1530, 0.012658357949207161))
(('Cepphus', 'US-AK'), (34573, 0.012652694358562791))
(('Calypte', 'US-NV'), (33814, 0.012629013970939334))
(('Sporophila', 'MX-OAX'), (5966, 0.012617433173763456))
(('Passerella', 'US-AK'), (42689, 0.01261224492545169))
(('Lampornis', 'MX-MOR'), (1325, 0.012588300635308601))
(('Myioborus', 'MX-MOR'), (1815, 0.012531497430978259))
(('Sporophila', 'MX-PUE'), (1048, 0.012528561078131082))
(('Nannopterum', 'US-FL'), (574651, 0.012485825472434433))
(('Auriparus', 'MX-SON'), (7103, 0.012475978446659496))
(('Cardinalis', 'US-OH'), (791329, 0.012473423442858216))
