objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Bob Ross: Art of Chill Game","231696","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","68559613","6.21202","6.79843","1.7692","1825","5430","thing","Bob Ross: Art of Chill Game","2","4","30","30","30","2017","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Caldera","109019","0","","0","1","0","0","0","1","0","0","0","3","","","","","","68926325","5.53699","7.57059","2","12540","53","thing","Caldera","2","3","0","0","0","2011","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Castles of Burgundy","84876","7","","0","1","0","0","0","0","0","0","0","3","","","","","","100229274","8.00642","8.12802","2.9937","17","71371","thing","The Castles of Burgundy","2","4","90","90","30","2011","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Castles of Mad King Ludwig","155426","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228297","7.35615","7.52882","2.6564","168","30476","thing","Castles of Mad King Ludwig","1","4","90","90","90","2014","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Catacombs (Third Edition)","195137","9","","0","1","0","0","0","0","0","0","0","3","","","","","","58899956","6.68079","7.51826","2.2708","814","5704","thing","Catacombs (Third Edition)","2","5","90","90","60","2015","2,3,4,5","2,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"CATAN","13","0","","0","1","0","0","0","0","1","0","0","3","","","","","","100233167","6.94682","7.11698","2.3058","473","181173","thing","CATAN","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Caverna: Cave vs Cave","220520","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","68029612","6.74527","7.13727","2.5576","714","12414","thing","Caverna: Cave vs Cave","1","2","40","40","20","2017","1,2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Charterstone","197376","0","12","0","1","0","0","0","0","0","0","0","3","","","","","","77004193","6.99798","7.26722","2.8399","425","24763","thing","Charterstone","1","6","75","75","45","2017","2,3,4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Clank!: Legacy – Acquisitions Incorporated","266507","8","1","0","1","0","0","0","0","0","0","0","3","","","","","","69720974","7.93065","8.62458","2.729","24","13345","thing","Clank!: Legacy – Acquisitions Incorporated","2","4","120","120","90","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Codenames: Duet","224037","0","","0","1","0","0","0","0","0","0","0","3","","","","","","100228753","7.30063","7.48913","1.3446","200","38854","thing","Codenames: Duet","2","2","30","30","15","2017","2","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
