(('Melanerpes', 'US-GA'), (377667, 0.015770849277143076))
(('Haemorhous', 'US-NM'), (259545, 0.015750100024507278))
(('Ardea', 'US-TX'), (1167667, 0.015687109216163883))
(('Aphelocoma', 'US-NM'), (79822, 0.0156167632458965))
(('Alauda', 'US-HI'), (11496, 0.01560199611598534))
(('Ptiliogonys', 'MX-OAX'), (6948, 0.015506968937031948))
(('Pitangus', 'MX-TAB'), (3613, 0.015465124580383776))
(('Cynanthus', 'MX-SON'), (6122, 0.015428657043694541))
(('Sialia', 'US-VA'), (344496, 0.0154098040878094))
(('Psilorhinus', 'MX-TAM'), (1733, 0.015396686550126226))
(('Crotophaga', 'MX-TAB'), (1815, 0.015366567914382968))
(('Clangula', 'CA-NU'), (5788, 0.015359245304329881))
(('Gavia', 'US-ME'), (117292, 0.015345522200814598))
(('Leucolia', 'MX-PUE'), (1056, 0.015312980297940442))
(('Pyrocephalus', 'MX-MEX'), (5171, 0.015284828543399784))
(('Mareca', 'CA-BC'), (292687, 0.015262197067862308))
(('Loxia', 'CA-YT'), (10019, 0.01524019588741013))
(('Saltator', 'MX-COL'), (1930, 0.0152013626753061))
(('Basileuterus', 'MX-VER'), (12078, 0.015152784901255396))
(('Thryophilus', 'MX-NAY'), (8364, 0.015109888139810311))
(('Setophaga', 'US-ME'), (594022, 0.015052824077703378))
(('Pipilo', 'US-NM'), (155747, 0.015048500003878695))
(('Amazilia', 'MX-COL'), (2451, 0.015041882242705314))
(('Calocitta', 'MX-NAY'), (8320, 0.015020194243857083))
(('Campylorhynchus', 'MX-OAX'), (9469, 0.014975490802219675))
(('Dumetella', 'US-PA'), (456717, 0.014973906430251026))
(('Phasianus', 'CA-NS'), (37194, 0.01495848707821722))
(('Ortalis', 'MX-NAY'), (9383, 0.01493644398155859))
(('Pyrocephalus', 'MX-DIF'), (8064, 0.01493347365936122))
(('Perisoreus', 'CA-NT'), (3748, 0.014862612060444506))
(('Junco', 'CA-BC'), (418988, 0.014856312023150272))
(('Streptopelia', 'US-NM'), (97805, 0.014823212873764188))
(('Melanotis', 'MX-MOR'), (1484, 0.014764197074428439))
(('Thryothorus', 'US-AL'), (127076, 0.014762615342850997))
(('Peucaea', 'MX-MOR'), (2890, 0.014761719959660692))
(('Quiscalus', 'US-TX'), (1017181, 0.01472387357746655))
(('Xema', 'CA-NU'), (1496, 0.014715520517043239))
(('Psarocolius', 'MX-VER'), (11310, 0.014711185003457708))
(('Cardinalis', 'US-GA'), (477796, 0.014704748219887343))
(('Streptopelia', 'US-ID'), (65286, 0.014681530927547877))
(('Sayornis', 'US-NM'), (155963, 0.014676487000592717))
(('Bubulcus', 'US-FL'), (314435, 0.014669874435011564))
(('Euphagus', 'US-CA'), (106642, 0.014665001166024108))
(('Crotophaga', 'MX-VER'), (12047, 0.014663626948268383))
(('Trogon', 'MX-OAX'), (7103, 0.014619843265772118))
(('Arremonops', 'MX-NLE'), (3121, 0.01461530245599843))
(('Amazona', 'MX-ROO'), (7144, 0.0145960610065867))
(('Patagioenas', 'MX-CHP'), (9490, 0.01459477301384965))
(('Saucerottia', 'MX-MEX'), (2102, 0.01459019994643439))
(('Basilinna', 'MX-DIF'), (4721, 0.014589358631643042))
(('Phaeoptila', 'MX-MOR'), (1285, 0.014571300175863033))
(('Amazilia', 'MX-VER'), (12416, 0.014550581962309756))
(('Thalasseus', 'US-FL'), (312316, 0.014546111124441444))
(('Amazilia', 'MX-NAY'), (9111, 0.014526879888906745))
(('Cygnus', 'US-MI'), (239333, 0.014519581680546473))
(('Euphonia', 'MX-TAM'), (1644, 0.01451094463748352))
(('Sporophila', 'MX-JAL'), (6664, 0.014500256330025645))
(('Cynanthus', 'MX-MEX'), (3553, 0.014472587956556187))
(('Cynanthus', 'US-AZ'), (169574, 0.014471183649522927))
(('Euphonia', 'MX-CAM'), (2075, 0.014470592092443732))
(('Baeolophus', 'US-MA'), (497003, 0.014454963238439407))
(('Mimus', 'US-NC'), (281345, 0.014449708454085303))
(('Melozone', 'US-NM'), (66915, 0.01443833579984788))
(('Colaptes', 'US-OR'), (427331, 0.01443371721900614))
(('Saltator', 'MX-CAM'), (2293, 0.01442748412056117))
(('Mycteria', 'US-FL'), (284639, 0.014425380753759303))
(('Crotophaga', 'MX-JAL'), (6841, 0.014383483553176554))
(('Melanotis', 'MX-MIC'), (1515, 0.014378471455140427))
(('Fregata', 'US-HI'), (12177, 0.014371427624911911))
(('Momotus', 'MX-CHP'), (6924, 0.0143589913353927))
(('Saltator', 'MX-TAB'), (1544, 0.014339111771222164))
(('Cynanthus', 'MX-JAL'), (7981, 0.014272529033403532))
(('Basilinna', 'MX-MOR'), (1447, 0.014259259634585473))
(('Mareca', 'US-CO'), (261227, 0.014235353947174786))
(('Haliaeetus', 'US-WA'), (338592, 0.014220067582094478))
(('Calcarius', 'CA-YT'), (6953, 0.014196039137466114))
(('Thryomanes', 'US-OR'), (183400, 0.014181412364786037))
(('Leucolia', 'MX-QUE'), (883, 0.014159253144290678))
(('Tityra', 'MX-NAY'), (7929, 0.01413450730075312))
(('Cathartes', 'US-FL'), (747759, 0.014096052195854978))
(('Thryomanes', 'US-AZ'), (205279, 0.01409171183349274))
(('Dryobates', 'US-MN'), (441912, 0.014080913449001295))
(('Mareca', 'CA-AB'), (115768, 0.014078851062501804))
(('Pyrocephalus', 'MX-MIC'), (4332, 0.014075599310824272))
(('Passerella', 'CA-NL'), (16977, 0.01407492851345793))
(('Leptotila', 'MX-CHP'), (7667, 0.014042716549751377))
(('Calocitta', 'MX-SIN'), (2065, 0.014035804795513893))
(('Megarynchus', 'MX-VER'), (10933, 0.014030467223203216))
(('Cynanthus', 'MX-MIC'), (3017, 0.014009104663598304))
(('Momotus', 'MX-MOR'), (1432, 0.013994835883245836))
(('Dryobates', 'US-WI'), (698204, 0.0139869064960424))
(('Dryobates', 'CA-QC'), (934491, 0.013986701031865275))
(('Ramphastos', 'MX-CAM'), (1741, 0.013953639198956072))
(('Baeolophus', 'US-SC'), (212440, 0.013880303369371152))
(('Sporophila', 'MX-NAY'), (8057, 0.013859089294589611))
(('Melozone', 'MX-OAX'), (11946, 0.013835345183331888))
(('Branta', 'US-NY'), (1054530, 0.013823507615774003))
(('Basilinna', 'MX-BCS'), (4183, 0.013740132574582953))
(('Patagioenas', 'MX-ROO'), (8702, 0.013722384645422268))
(('Fulica', 'US-NV'), (53207, 0.013714907124818185))
(('Haemorhous', 'US-CO'), (467098, 0.013713043867779754))
(('Junco', 'US-NM'), (190898, 0.013682505607875569))
(('Cepphus', 'CA-NL'), (11156, 0.013666320123800616))
(('Acanthis', 'CA-MB'), (26735, 0.013662459481737662))
(('Podiceps', 'CA-AB'), (71943, 0.013653259572623195))
(('Cardinalis', 'US-NC'), (535006, 0.013639113314850246))
(('Colaptes', 'US-WA'), (488880, 0.013624330045481163))
(('Junco', 'US-CO'), (375157, 0.013609083379723509))
