Bird,State,Count,Score
Pagophila,CA-MB,6,-0.000003
Scolopacidae,CA-MB,5,-0.000004
Oenanthe,CA-MB,32,-0.000004
Podicipedidae,CA-MB,13,-0.000005
Psittaciformes,CA-MB,4,-0.000006
Carduelis,CA-MB,2,-0.000007
Ardeidae,CA-MB,1,-0.000008
Strigiformes,CA-MB,20,-0.000008
Columbidae,CA-MB,3,-0.000021
Pavo,CA-MB,4,-0.000023
Rhynchophanes,CA-MB,9,-0.000023
Alle,CA-MB,1,-0.000024
Troglodytidae,CA-MB,10,-0.000024
Aves,CA-MB,1,-0.000025
Fringillidae,CA-MB,17,-0.000026
Synthliboramphus,CA-MB,2,-0.000030
Alectoris,CA-MB,3,-0.000048
Anatidae,CA-MB,116,-0.000051
Oxyura,CA-MB,5799,-0.000051
Aquila,CA-MB,809,-0.000056
Tyrannidae,CA-MB,11,-0.000060
Limnothlypis,CA-MB,1,-0.000061
Charadriiformes,CA-MB,158,-0.000063
Ammodramus,CA-MB,1044,-0.000064
Gymnorhinus,CA-MB,1,-0.000084
Leucosticte,CA-MB,43,-0.000090
Melanitta,CA-MB,5725,-0.000093
Megascops,CA-MB,1127,-0.000101
Calamospiza,CA-MB,97,-0.000108
Chondestes,CA-MB,1895,-0.000111
Ixobrychus,CA-MB,262,-0.000114
Melospiza,CA-MB,59772,-0.000119
Oreoscoptes,CA-MB,12,-0.000123
Turdus,CA-MB,66284,-0.000128
Myioborus,CA-MB,41,-0.000150
Cardellina,CA-MB,5044,-0.000166
Anatinae,CA-MB,871,-0.000176
Arenaria,CA-MB,2285,-0.000198
Histrionicus,CA-MB,366,-0.000200
Rissa,CA-MB,24,-0.000203
Elanoides,CA-MB,1,-0.000207
