Bird,State,Count,Score
Phaethornis striigularis,MX-CHP,1913,0.505068
Coccyzus minor,US-FL,4480,0.504491
Chlorospingus flavopectus,MX-VER,5774,0.504342
Lamprolaima rhami,MX-CHP,874,0.504208
Spinus lawrencei,US-CA,10278,0.501944
Cerorhinca monocerata,US-WA,56517,0.500974
Heliomaster longirostris,MX-CHP,576,0.500456
Sterna paradisaea,US-AK,49261,0.500410
Dactylortyx thoracicus,MX-CHP,1722,0.499151
Falco tinnunculus,CA-NS,159,0.497732
Columbina passerina,US-FL,213643,0.497714
Tringa erythropus,US-MI,521,0.496460
Dendrocygna bicolor,US-TX,32015,0.496430
Turdus eunomus,US-AK,170,0.496365
Peucaea aestivalis,US-FL,19311,0.496350
Myiarchus tuberculifer,US-AZ,53875,0.495842
Rhodothraupis celaeno,US-TX,3151,0.495660
Henicorhina leucosticta,MX-VER,3957,0.493323
Peucaea humeralis,MX-MOR,1049,0.493182
Nannopterum brasilianum,US-TX,234429,0.491669
Prunella montanella,US-WA,589,0.490693
Oenanthe oenanthe,US-AK,5543,0.489787
Lonchura punctulata,US-HI,17303,0.487566
Phoebastria immutabilis,US-HI,6290,0.487205
Lagopus leucura,US-CO,3927,0.486452
Automolus ochrolaemus,MX-VER,681,0.485711
Psarocolius wagleri,MX-VER,749,0.485519
