Bird,State,Count,Score
Myiozetetes,MX-GRO,1527,0.013518
Passer,MX-TLA,331,0.013503
Crotophaga,MX-TAB,1815,0.013491
Pipilo,CA-BC,402839,0.013487
Streptopelia,US-CO,292668,0.013480
Loxia,CA-YT,10019,0.013472
Sialia,US-NC,307887,0.013456
Coragyps,MX-COL,2904,0.013452
Haemorhous,MX-PUE,2675,0.013421
Colaptes,CA-BC,476541,0.013421
Lanius,MX-ZAC,115,0.013409
Numenius,MX-BCN,9326,0.013402
Passerina,MX-MOR,3146,0.013363
Zenaida,MX-QUE,2921,0.013359
Mareca,CA-YT,13611,0.013337
Bubulcus,MX-TAB,1932,0.013322
Egretta,US-TX,810944,0.013307
Anas,CA-SK,66380,0.013306
Pyrocephalus,MX-SLP,899,0.013297
Corvus,US-ME,412406,0.013276
Pica,CA-YT,10904,0.013271
Charadrius,CA-NU,3650,0.013249
Melanerpes,MX-NLE,9146,0.013241
Spatula,US-SD,27909,0.013191
Trogon,MX-CAM,3119,0.013188
Somateria,US-ME,127240,0.013188
Sialia,US-TN,181103,0.013179
Pipilo,US-NM,155739,0.013155
Coragyps,MX-VER,25178,0.013154
Anas,CA-NB,56884,0.013150
Turdus,CA-NL,43543,0.013138
Columbina,MX-TLA,185,0.013134
Melanerpes,US-IA,97621,0.013132
Butorides,MX-TAB,2067,0.013128
Quiscalus,MX-NLE,8605,0.013124
Streptopelia,MX-COA,1291,0.013116
Cardellina,MX-OAX,12907,0.013095
Catharus,CA-NT,4325,0.013067
Pitangus,MX-CAM,3159,0.013040
Cardellina,MX-MOR,2516,0.013030
Sayornis,MX-CHH,2478,0.013019
Patagioenas,MX-TAB,1792,0.013009
Eupsittula,MX-CAM,3061,0.013006
Hirundo,MX-PUE,1901,0.013002
Turdus,MX-DIF,22289,0.012981
Caracara,MX-AGU,671,0.012980
Sayornis,US-NM,155963,0.012967
Cardinalis,US-PA,947363,0.012951
Passerella,CA-NL,16977,0.012948
Thryomanes,MX-ZAC,113,0.012923
Quiscalus,MX-HID,1204,0.012921
Vireo,MX-ROO,23308,0.012912
Melozone,MX-OAX,11946,0.012894
Aphelocoma,US-CA,153459,0.012889
Pipilo,US-OR,398523,0.012883
Sayornis,MX-ZAC,160,0.012862
Perisoreus,CA-YT,9309,0.012849
Sialia,US-GA,249060,0.012844
Corvus,US-DC,74079,0.012837
Leucolia,MX-MOR,2166,0.012836
Passer,MX-MEX,5893,0.012836
Melanerpes,US-AZ,623372,0.012831
Phaethon,US-HI,18688,0.012828
Coragyps,MX-ZAC,125,0.012819
Thryomanes,MX-TLA,188,0.012764
Auriparus,MX-SON,7103,0.012745
Rissa,US-AK,60795,0.012737
Piranga,MX-MOR,2781,0.012707
Auriparus,MX-BCS,7685,0.012702
Setophaga,US-NC,731283,0.012691
Toxostoma,MX-DIF,10275,0.012686
Tyrannus,MX-SIN,4969,0.012670
Melanerpes,US-MS,72864,0.012669
Pluvialis,CA-PE,3980,0.012668
Crotophaga,MX-MOR,2149,0.012657
Myiozetetes,MX-SLP,830,0.012656
Cardinalis,US-DC,57641,0.012655
Pyrocephalus,MX-DIF,8064,0.012653
Haemorhous,US-AZ,613686,0.012642
Toxostoma,MX-MEX,3958,0.012628
Fulica,MX-TLA,218,0.012628
Turdus,US-NE,103158,0.012624
Haliaeetus,CA-BC,352974,0.012619
Cardellina,MX-SLP,943,0.012615
Podiceps,CA-NT,3405,0.012605
Copsychus,US-HI,18329,0.012588
Passer,MX-HID,1104,0.012577
Podiceps,CA-YT,10508,0.012577
Pica,US-AK,69491,0.012575
Pipilo,US-WA,470463,0.012572
Myiarchus,MX-GRO,1832,0.012555
